ASCII table of spectral energy distribution (SED) fitting results presented in the study *"The Challenge in Illuminating the Invisible: Constraining LyC Escape with Bayesian Modelling and Symbolic Regression"* (Stoffers et al. 2025). The table reports inferred escape fractions of ionizing photons together with key stellar population and dust attenuation parameters derived from Bayesian SED modelling. Galaxies best fit by a three-component dust attenuation model list the parameters tau_3, tau_2_fraction, and tau_1_fraction, where the fractional parameters express tau_1 and tau_2 relative to the total optical depth tau_3. Galaxies best fit by a two-component dust model instead list tau_2 and tau_1_fraction, with the fraction defined as tau_1 / tau_2. These results form the basis for the analysis of LyC escape presented in the paper.

ID              fesc         e_fesc       E_fesc       logM*  e_logM*  E_logM*  SFR_5   e_SFR_5  E_SFR_5  SFR_10  e_SFR_10  E_SFR_10  SFR_100  e_SFR_100  E_SFR_100  t50   e_t50  E_t50  beta_slope  e_beta_slope  E_beta_slope  logZ*  e_logZ*  E_logZ*  logZ_gas  e_logZ_gas  E_logZ_gas  logU   e_logU  E_logU  tau_2  e_tau_2  E_tau_2  tau_1_fraction  e_tau_1_fraction  E_tau_1_fraction  tau_3  e_tau_3  E_tau_3  tau_2_fraction  e_tau_2_fraction  E_tau_2_fraction  f_scale  e_f_scale  E_f_scale  f_ob_run    e_f_ob_run  E_f_ob_run
J110452+475204  0.015690181  0.009438618  0.019271146  9.03   0.34     0.19     12.32   2.77     3.23     9.75    1.48      1.26      2.44     0.74       1.03       1.16  1.08   2.32   -2.155      0.089         0.134         -1.06  0.18     0.14     -0.56     0.05        0.03        -2.40  0.06    0.03    ...    ...      ...      0.909           0.229             0.295             0.556  0.170    0.324    0.439           0.157             0.221             1.019    0.091      0.114      0.84788599  0.04399177  0.02879970
J112224+412052  0.009753925  0.008509528  0.007872590  8.76   0.54     0.22     3.80    0.52     2.49     4.47    1.17      1.94      1.62     0.27       0.33       0.91  0.89   3.03   -2.095      0.202         0.136         -1.48  0.18     0.21     -0.55     0.02        0.04        -1.03  0.06    0.02    0.386  0.072    0.109    1.060           0.268             0.265             ...    ...      ...      ...             ...               ...               0.922    0.053      0.038      0.26769651  0.22806235  0.23821637
J164607+313054  0.003341509  0.001098750  0.001492638  9.06   0.27     0.20     9.34    2.94     2.04     7.18    1.98      1.41      3.07     0.72       1.08       0.74  0.66   2.26   -1.849      0.053         0.032         -1.09  0.17     0.13     -0.52     0.01        0.01        -1.97  0.03    0.04    0.084  0.011    0.019    0.953           0.199             0.266             ...    ...      ...      ...             ...               ...               0.854    0.049      0.044      0.55649569  0.18916839  0.07352494
J124911+464535  0.000058391  0.000048304  0.000212768  8.74   0.24     0.21     6.38    1.84     1.91     8.68    2.72      1.82      2.76     0.62       1.25       0.07  0.05   1.10   -1.522      0.146         0.175         -1.41  0.24     0.14     -0.53     0.02        0.02        -2.15  0.03    0.04    0.159  0.028    0.032    0.970           0.264             0.266             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.59582505  0.14903690  0.09133323
J004743+015440  0.002038540  0.000802103  0.000776808  9.78   0.42     0.33     132.62  17.52    17.69    75.72   11.05     8.90      10.89    2.32       4.45       1.60  1.52   2.70   -2.325      0.050         0.041         -0.94  0.10     0.14     -0.54     0.02        0.02        -2.18  0.03    0.03    ...    ...      ...      1.003           0.294             0.342             1.678  0.417    0.490    0.573           0.161             0.152             0.944    0.110      0.120      0.88411998  0.01943709  0.01944650
J091703+315221  0.000876239  0.000381063  0.000460053  8.93   0.07     0.07     153.45  17.68    16.71    77.95   8.34      8.61      8.26     1.15       1.20       0.00  0.00   0.00   -1.999      0.069         0.080         -0.64  0.12     0.28     -0.20     0.01        0.01        -2.29  0.02    0.02    0.874  0.076    0.099    0.999           0.293             0.278             ...    ...      ...      ...             ...               ...               1.357    0.109      0.153      0.93341744  0.01226300  0.00722416
J102615+633308  0.034977304  0.026292389  0.050682413  8.61   0.34     0.31     7.52    0.52     0.64     4.13    0.21      0.25      0.66     0.13       0.25       2.13  1.82   2.41   -2.538      0.025         0.056         -0.61  0.16     0.13     -0.59     0.04        0.04        -2.05  0.03    0.04    ...    ...      ...      0.957           0.262             0.251             0.007  0.005    0.013    0.353           0.223             0.275             0.439    0.016      0.025      0.04062270  0.03011994  0.06734159
J105117+474357  0.023823728  0.010909725  0.014348856  9.43   0.23     0.21     3.63    0.90     1.16     10.52   3.75      2.83      5.71     1.35       1.50       0.66  0.50   2.51   -2.041      0.060         0.081         -1.04  0.27     0.13     -0.53     0.01        0.01        -2.57  0.02    0.03    0.302  0.069    0.066    0.982           0.289             0.336             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.45290746  0.18106429  0.10767086
J113304+651341  0.039250995  0.011829872  0.017604205  9.41   0.31     0.26     21.16   3.51     6.10     18.90   2.66      2.72      4.99     1.42       2.61       1.54  1.38   2.96   -2.358      0.033         0.042         -1.18  0.15     0.15     -0.53     0.02        0.01        -2.05  0.04    0.03    ...    ...      ...      0.977           0.288             0.314             0.885  0.291    0.463    0.459           0.180             0.223             0.696    0.045      0.098      0.76423325  0.03326547  0.04823348
J112933+493525  0.101482108  0.051242278  0.049980243  9.13   0.36     0.32     7.45    1.86     2.48     7.21    1.26      1.79      2.85     0.97       1.24       1.51  1.36   2.59   -2.307      0.088         0.068         -1.06  0.18     0.15     -0.50     0.02        0.03        -2.06  0.04    0.03    ...    ...      ...      1.065           0.298             0.262             0.495  0.202    0.316    0.331           0.182             0.260             0.847    0.100      0.096      0.62786988  0.10400679  0.09516025
